               point_id                    MH0                    MA0                   MHch                   lamL                   lam2                    rat                 s_jbar                 con_tt                 con_hh                 con_zz                 con_ww                 con_bb               con_tata                 con_cc                 con_ss               con_mumu                 con_gg                 con_aa                 sigmav                 br_inv                  br_ll               gce_chi2                 gce_ll              jbar_chi2                jbar_ll                sigmaSI                 lux_ll                 lux_pv                r_xenon              ll_dSph16           ll_dSph16all     ll_dSph_tucana_III      ll_dSph_tucana_IV   ll_dSph_reticulum_II                omegah2             omegah2tot                  dm_ll                dm_chi2                delta_S                delta_T                delta_U              delta_rho           ll_unitarity      ll_perturbativity        ll_vevstability                chi2_ST                  ll_ST                  pv_ST               chi2_rho                 ll_rho 
            40000000001          491.850320282          491.868254976          491.900385876     -8.72440568017e-06      7.15994450708e-06         0.964693958408        -0.717334830102                    0.0                    0.0                  0.438                   0.52                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0                8.1e-26                    0.0                   -0.0          102.272202322         -53.1192973216          2.83888305554         -1.91142110995              1.113e-17         -1.08628708651         0.999999975887 2.3825652803284658e-08         -22.6722230845         -32.0593776112         -4.89677579097          -4.4903787357         -7.10712902461                  0.102         0.105733014197           2.7328415588           1.7952861944             -5.871e-05           -4.96756e-05           -2.42236e-05           -0.000150824                    0.0                    0.0                    0.0          3.24252144684          3.31278125247         0.197649360765          2.47679248144          5.80024262956 
            40000000002          631.453486177          804.154111258          631.477863036        0.0108013144105      0.000160304816405         0.920817990866         0.117681945893                 0.0002                0.00127                  0.488                  0.467               6.44e-08                    0.0                    0.0                    0.0                    0.0               8.28e-07                    0.0               5.52e-26                    0.0                   -0.0          106.983323367         -55.5222268237        0.0764052757689        -0.530182220063              1.036e-11         -1.07556380596         0.983379680355    0.01644798281571687         -22.3067915954         -32.2803919659         -5.16899426387         -4.80460610664         -7.45403656641                  0.126          0.13683485906          2.60678416835          1.53168576001             0.00679138           -0.000124244            -1.8642e-05           -0.000151406                    0.0                    0.0                    0.0          3.73476477315          3.06665958931         0.154527626462          2.48202919866          5.79762427095 
            40000000003          648.293013235          832.591891793          648.354813615       -0.0316833988472         0.841200053038         0.963693548253         0.317986064916                0.00162                 0.0111                  0.484                   0.46                5.2e-07               8.05e-08                2.1e-08                    0.0                    0.0               7.07e-06                    0.0               5.27e-26                    0.0                   -0.0          113.300718965           -58.77936664         0.557853089206        -0.770906126781              8.457e-11         -1.02174386069         0.869712683978     0.1366472619717299         -22.3194508221         -32.2814896062         -5.16355931925         -4.79847946482         -7.44795253039                  0.132         0.136973003751          2.59479884744          1.55363827567             0.00704994           -0.000251238           -1.82024e-05           -0.000152399                    0.0                    0.0                    0.0          3.76938284425          3.04935055376         0.151875917747          2.49097677715           5.7931504817 
            40000000004          501.194900872          515.632224739          501.437181684      0.000163369810248      0.000365092833065         0.658261070628           1.1067281489               7.82e-08               3.31e-07                  0.445                  0.513                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0               7.91e-26                    0.0                   -0.0          141.986940347         -73.7233237082          6.75749258596         -3.87072587516              3.759e-15         -1.08628345592         0.999994544599   5.39251271400101e-06         -22.2333577259         -32.2493767274         -5.18437401523         -4.83164498627         -7.47864502583                  0.092         0.139762176597          2.34163866161          2.01964187527            0.000663367           -0.000110978           -2.42075e-05           -0.000151303                    0.0                    0.0                    0.0          3.29710842884          3.28548776147         0.192327772427          2.48110202293          5.79808785881 
            40000000005          493.838893335           493.84990214          494.051383654     -6.34332925306e-05      9.64947304596e-05         0.735399157072         0.248274222353               1.23e-08               5.07e-08                  0.438                   0.52                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0               8.04e-26                    0.0                   -0.0          112.221789353         -58.2554371547         0.340068907532        -0.662014035945             5.8365e-16         -1.08628646079         0.999999039872  9.487582063777305e-07         -22.3515215416         -32.2002895224         -5.09070846052         -4.75805952029         -7.39761129331                  0.102         0.138700186177          2.44045803173          1.83725827484           -7.49552e-05           -4.89415e-05           -2.40186e-05           -0.000150818                    0.0                    0.0                    0.0          3.24137262159          3.31335566509         0.197762925667          2.47673852346          5.80026960855 
            40000000006          532.187350556          539.558620089          532.365614538     -2.05821528528e-05        0.0253570021281         0.784899130923        -0.177607924229                    0.0                    0.0                  0.441                  0.516                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0                  7e-26                    0.0                   -0.0          101.537770398         -52.7299809164         0.174031692087        -0.578995428222             5.2925e-17         -1.08628704491         0.999999913651  8.530182718869243e-08         -22.3219882502         -32.2432778118         -5.13614246692         -4.78514709465         -7.42948831106                  0.109         0.138871347547          2.42472622669          1.86625532951             0.00030069           -7.25509e-05           -2.13676e-05           -0.000151002                    0.0                    0.0                    0.0           3.2687574484          3.29966325169         0.195073528121          2.47839350207          5.79944211924 
            40000000007          570.220052354          570.254527144           570.63389155      0.000114366963717          0.52787106805          0.97462114173          1.21423751834               3.04e-08               1.61e-07                  0.436                  0.518                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0               6.08e-26                    0.0                   -0.0          190.394345238         -99.1562463084            8.134127236         -4.55904320018              1.424e-15          -1.0862853012         0.999997304333 2.6588561192288876e-06         -22.4496722661         -32.2252285758         -5.06530958538         -4.71024672426         -7.34908638057                  0.134         0.137489322017          2.54952220891          1.63666674766           -6.04444e-05            -4.6907e-05           -1.86234e-05           -0.000150802                    0.0                    0.0                    0.0           3.2421093638          3.31298729399         0.197690088936           2.4765946384          5.80034155108 
            40000000008          506.528538603          507.069888993          506.595544854      1.46985738502e-05        0.0154133785921         0.773726333127         0.794281711455                    0.0                    0.0                  0.438                  0.519                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0               7.66e-26                    0.0                   -0.0          140.186686574         -72.7793852199          3.48058938665          -2.2322742755             2.9795e-17           -1.086287069         0.999999949699  4.973241539459626e-08         -22.3667799694         -32.2203636208         -5.09825080821         -4.75533284318         -7.39788984015                  0.107         0.138291790545          2.47768382478          1.76870427368           -2.71358e-05           -5.02706e-05           -2.30045e-05           -0.000150828                    0.0                    0.0                    0.0          3.24466591987          3.31170901595          0.19743754748          2.47682845375           5.8002246434 
            40000000009          556.936587701          574.355938274          557.190945555      0.000135369655696          1.43710951866         0.800338399924        0.0501888524026               4.39e-08               2.23e-07                  0.444                  0.511                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0               6.45e-26                    0.0                   -0.0          104.409489271         -54.2046311067        0.0138969084511        -0.498928036404             2.0905e-15         -1.08628487992         0.999996674095 3.2825440665295276e-06         -22.2876598436         -32.2583295788         -5.16306634898         -4.80760338627         -7.45416256338                  0.111         0.138691333579          2.44126961575          1.83576276173            0.000748523           -0.000127491           -2.01838e-05           -0.000151432                    0.0                    0.0                    0.0           3.3046142361          3.28173485784         0.191607337538           2.4822632704          5.79750723508 
            40000000010          536.813812067          562.432459666           536.94154339        7.307975051e-05      0.000130194421615         0.727226851399         -1.35243540074               1.36e-08                6.5e-08                  0.448                  0.508                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0               6.98e-26                    0.0                   -0.0          92.3543206769         -48.0336945872          10.0910585492         -5.53750885678              6.558e-16         -1.08628644566         0.999999017047   9.70886478907651e-07         -22.2478435522         -32.2571129415         -5.18250663573         -4.82676275357         -7.47467547787                  0.101         0.138883760694          2.42358234827          1.86836432245             0.00117208           -0.000107706           -2.17266e-05           -0.000151277                    0.0                    0.0                    0.0          3.33098805086          3.26854795046         0.189097216069          2.48086800595           5.7982048673 
            40000000011          542.791463671          543.091018623          543.251868898     -1.13478564585e-06        0.0666293449842         0.881296336604         0.696963053209                    0.0                    0.0                  0.437                  0.519                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0               6.69e-26                    0.0                   -0.0          139.572757537         -72.4452772034          2.67992832091         -1.83194374263             1.5465e-19         -1.08628710244         0.999999999722 2.7440565219936804e-10         -22.4104422003         -32.2216971406         -5.07862686144         -4.73262807885         -7.37322607384                  0.121         0.137297745349          2.56640970591          1.60568048314           -6.29867e-05           -4.83848e-05           -2.02963e-05           -0.000150813                    0.0                    0.0                    0.0          3.24210089973          3.31299152603         0.197690925569          2.47669355893          5.80029209081 
            40000000012          539.892419577          540.162785348          540.251364522       -0.0916971000868        0.0977094198113         0.943216655832        -0.928075098863                 0.0196                  0.102                  0.384                  0.456                6.6e-06               9.97e-07               2.67e-07                    0.0                    0.0               6.07e-05               5.91e-08               7.48e-26                    0.0                   -0.0          96.9495888662         -50.3876592381          4.75192859747         -2.86794388091              1.021e-09         -1.89150238082         0.136817791536     1.9493172570346071         -22.5461349296         -32.0733620466         -4.94028699108         -4.58694012594         -7.19232419995                  0.112         0.118742602039          3.50969338253       0.00950062776716           -5.59394e-05           -4.91378e-05           -2.05024e-05           -0.000150819                    0.0                    0.0                    0.0          3.24264608668          3.31271893255         0.197637043657          2.47674751642          5.80026511207 
            40000000013          600.788816577          652.093856403          601.509647683     -6.71512582148e-05         0.111057894891         0.857749339183        0.0796771612658                    0.0               5.32e-08                  0.455                  0.499                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0               5.69e-26                    0.0                   -0.0          104.380920158         -54.1856540386        0.0350244537829         -0.50949180907             4.4225e-16         -1.08628663496         0.999999300107  6.890863179030704e-07         -22.2706424512         -32.2747151584         -5.18335461146         -4.82071809573         -7.47086517004                  0.118         0.137569327786          2.54243932532          1.64966904267             0.00209533           -0.000698951           -2.00664e-05           -0.000155899                    0.0                    0.0                    0.0          3.46001480827          3.20403457176         0.177283097337          2.52264243429          5.77731765313 
            40000000014          552.797885662          553.673637369          552.864076124      0.000176890174178      1.47565511965e-06         0.920088932459         0.377156724106               7.71e-08               3.87e-07                  0.437                  0.518                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0               6.46e-26                    0.0                   -0.0          124.049304204         -64.3595874361         0.784779004227        -0.884369084292             3.6235e-15         -1.08628264089         0.999993323827  6.590473935328538e-06         -22.4304307659          -32.221389541         -5.07094363227         -4.72001514288         -7.35888919661                  0.126         0.136943284019          2.59738194144          1.54890608497            4.20908e-06           -5.06591e-05           -1.97314e-05           -0.000150831                    0.0                    0.0                    0.0          3.24677445879          3.31065474649          0.19722950479          2.47685543315           5.8002111537 
            40000000015          506.360604588          506.991807682          506.616889693      2.16758878327e-05        0.0271789041441          0.99553068244          0.44252914694                    0.0                    0.0                  0.438                  0.519                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0               7.67e-26                    0.0                   -0.0          151.067200975         -78.4743879171          1.08040709322         -1.03218312879              6.483e-17         -1.08628700846         0.999999859129  1.392764494803605e-07         -22.6625345579         -32.1184902372         -4.93554549448         -4.52041018482         -7.14668870682                  0.106         0.106475874496          2.82871685929           1.5895331011           -4.17701e-05           -5.14163e-05           -2.29974e-05           -0.000150837                    0.0                    0.0                    0.0          3.24382477068          3.31212959055         0.197520602162           2.4769093924          5.80018417408 
