               point_id                    MH0                    MA0                   MHch                   lamL                   lam2                    rat                 s_jbar                 con_tt                 con_hh                 con_zz                 con_ww                 con_bb               con_tata                 con_cc                 con_ss               con_mumu                 con_gg                 con_aa                 sigmav                 br_inv                  br_ll               gce_chi2                 gce_ll              jbar_chi2                jbar_ll                sigmaSI                 lux_ll                 lux_pv                r_xenon              ll_dSph16           ll_dSph16all     ll_dSph_tucana_III      ll_dSph_tucana_IV   ll_dSph_reticulum_II                omegah2             omegah2tot                  dm_ll                dm_chi2                delta_S                delta_T                delta_U              delta_rho           ll_unitarity      ll_perturbativity        ll_vevstability                chi2_ST                  ll_ST                  pv_ST               chi2_rho                 ll_rho 
            50000000001          596.240959182           604.79277389           596.27420009      2.37473265395e-05      0.000240058401852         0.997072158995        0.0347255116134                    0.0                    0.0                   0.44                  0.514                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0               5.61e-26                    0.0                   -0.0          110.358297569         -57.2645322477       0.00665274644571        -0.495305955401             5.6155e-17         -1.08628703308          0.99999989592 1.0252389379491523e-07         -22.4173286389         -32.2474620229         -5.09263937315         -4.73749401079         -7.38267063915                  0.134          0.13439348275          2.80911733859          1.16302512944            0.000347429           -5.47496e-05           -1.75021e-05           -0.000150863                    0.0                    0.0                    0.0          3.26993558344          3.29907418417         0.194958650481           2.4771432226          5.80006725897 
            50000000002          569.446280119           569.46569797           569.45687991        0.0910375546179        0.0014276188164         0.997240664529        -0.926912452159                 0.0169                 0.0836                  0.393                  0.466                5.6e-06               8.52e-07               2.26e-07                    0.0                    0.0               5.77e-05               5.62e-08               6.95e-26                    0.0                   -0.0          97.1655318307         -50.4946880905          4.74003009158         -2.86199462797              9.046e-10         -1.72217938985          0.17088054596     1.7306173767562663         -22.5543818306          -32.113759702          -4.9609469219         -4.59843094947         -7.21300763182                  0.122         0.122337570397          3.46476745605        0.0397003770664           -2.51622e-05            -4.9706e-05           -1.87204e-05           -0.000150824                    0.0                    0.0                    0.0          3.24473523668          3.31167435755         0.197430704729          2.47679248144          5.80024262956 
            50000000003          639.466920613          690.631161005          639.487961133        0.0416127164231         0.126356913599         0.997415486378         0.038224598613                0.00301                 0.0192                  0.444                  0.488               9.65e-07               1.49e-07                3.9e-08                    0.0                    0.0               1.28e-05               1.24e-08               5.18e-26                    0.0                   -0.0          107.056612761         -55.5618626642       0.00806101135842        -0.496010087858              1.499e-10         -1.00139405425         0.771280810084      0.254403742858456         -22.3499458172         -32.2712739596         -5.14212848853         -4.77919965386         -7.42761984516                  0.134         0.134347222226          2.81276986527          1.15640862862             0.00202778           -6.88662e-05           -1.63048e-05           -0.000150974                    0.0                    0.0                    0.0          3.38507179926          3.24150607626         0.184052193802          2.47814162184          5.79956805935 
            50000000004          571.858427694          572.226028733          571.880724315        0.0920743281116       0.00225940019904         0.997569397433         -0.18496836337                 0.0171                 0.0853                  0.392                  0.465               5.66e-06               8.62e-07               2.29e-07                    0.0                    0.0               5.89e-05               5.73e-08               6.91e-26                    0.0                   -0.0           110.04453339         -57.1365806934         0.188755047296        -0.586357105826             9.1755e-10          -1.7359741162          0.16773798424     1.7484922346194447         -22.5502021326         -32.1163306075         -4.96372232786         -4.60240614705         -7.21800577301                  0.123         0.123299692549          3.43877152096        0.0760248023199           -9.84547e-06           -4.98415e-05           -1.85922e-05           -0.000150825                    0.0                    0.0                    0.0          3.24575958289          3.31116218445         0.197329611923          2.47680147449          5.80023813303 
            50000000005          568.661988723          575.773527443          568.685359071      0.000259118975112       0.00136373949298         0.997606757662         0.192777525219               1.56e-07               8.23e-07                   0.44                  0.515                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0               6.14e-26                    0.0                   -0.0          120.081450672         -62.2977336525         0.205029554084         -0.59449435922             7.3485e-15         -1.08627756176         0.999985722747 1.4083382851150905e-05         -22.4837046273         -32.2123199794          -5.0439105958         -4.68470475626         -7.32320851153                  0.124         0.124297473977          3.40614179979         0.125164725313            0.000293396           -5.26558e-05           -1.89567e-05           -0.000150847                    0.0                    0.0                    0.0          3.26612154506          3.30098120336         0.195330795099          2.47699932579          5.80013920738 
            50000000006          594.554081473          658.297153023          594.574909624       0.00776443237967          0.31580806276         0.997669121924        0.0545246194866               0.000123               0.000701                   0.46                  0.495               4.03e-08                    0.0                    0.0                    0.0                    0.0               4.55e-07                    0.0               5.87e-26                    0.0                   -0.0          112.413410069         -58.3268537988        0.0164017033437         -0.50018043385              6.037e-12         -1.07899907483         0.988835049009   0.011061396131473493         -22.4425264358         -32.2373182568         -5.07644303682         -4.71834878415         -7.35952839297                  0.118         0.118275686204          3.50895345863        0.0188603137546             0.00270184           -7.33274e-05           -1.88041e-05           -0.000151008                    0.0                    0.0                    0.0          3.43223392915          3.21792501131         0.179762819832          2.47844747807          5.79941513124 
            50000000007           556.94523195          571.290298723          556.960161381       0.00293949665073         0.119495183776         0.997799182708         -1.14773090878               2.07e-05               0.000105                  0.443                  0.512                    0.0                    0.0                    0.0                    0.0                    0.0               6.79e-08                    0.0               6.44e-26                    0.0                   -0.0          95.2714361421         -49.5182215982          7.26747958894         -4.12571937665             9.8585e-13         -1.08498687437         0.998046500531  0.0019298960406563786         -22.5203309836         -32.1988052796         -5.02339720427         -4.65507709173         -7.29196641348                  0.114         0.114251446559          3.43078611543         0.244428064586            0.000629557            -5.3516e-05            -1.9858e-05           -0.000150854                    0.0                    0.0                    0.0          3.28859917589          3.28974238795         0.193147798474          2.47706228013          5.80010773021 
            50000000008          535.229332964          535.802662053          535.245108203      5.76836138705e-05          0.21264100647         0.997819803138         0.558785387976                    0.0               4.14e-08                  0.437                  0.518                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0               6.88e-26                    0.0                   -0.0          149.645389369         -77.7164178677          1.72263690707         -1.35329803571               4.11e-16         -1.08628653605         0.999999152291  8.373440680492713e-07         -22.5725145745         -32.1721476372         -4.99048722105          -4.6091458416         -7.23819147399                  0.119           0.1192600103          3.50865588875       0.00287975992475            -1.0445e-05            -4.9861e-05           -2.08737e-05           -0.000150825                    0.0                    0.0                    0.0          3.24572215191          3.31118089993         0.197333305077          2.47680147449          5.80023813303 
            50000000009          583.750488502          615.406646559          583.775439717      8.94847002308e-05       0.00285353729319         0.997974970253          1.39656179951               1.74e-08               9.61e-08                  0.449                  0.506                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0               5.94e-26                    0.0                   -0.0          212.601181449         -110.924582041          10.7602901635         -5.87212466391             8.3175e-16         -1.08628604983         0.999998424517  1.553025523771469e-06         -22.4555515756         -32.2291735857         -5.06537602303         -4.70824598705         -7.34776407249                  0.118          0.11823943838           3.5088283521        0.0197235586368             0.00136178           -6.37629e-05           -1.87141e-05           -0.000150934                    0.0                    0.0                    0.0          3.33901931267          3.26453231956          0.18833939403          2.47778181515           5.7997479627 
            50000000010          536.941805483          537.063962529          536.955574662      1.45479737571e-05      0.000104659943147         0.998081722948        -0.276204287682                    0.0                    0.0                  0.437                  0.519                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0                    0.0               6.83e-26                    0.0                   -0.0          108.921934627          -56.531959014         0.420886017393        -0.702422590875             2.5975e-17         -1.08628706692         0.999999946579  5.276492547178034e-08         -22.5682704813         -32.1749510458         -4.99341786131         -4.61326270325         -7.24331505648                   0.12         0.120230635669          3.50161184844      0.000756256501395           -3.13035e-05           -4.97309e-05           -2.07426e-05           -0.000150824                    0.0                    0.0                    0.0          3.24433314069          3.31187540554         0.197470401766          2.47679248144          5.80024262956 
